Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
25.99921226,-80.22172683,3,1,924,1960
33.68417123,-112.0950089,3,2.5,1787,1986
33.5724393,-112.2900304,3,2,1701,1987
33.51073452,-112.0928376,5,4,2803,1956
33.344166,-112.4388532,5,2,2244,2004
33.35248473,-111.9435316,3,2,1424,1977
33.23970926,-111.5573639,6,3,2087,2005
33.42833979,-111.8119694,3,2,1502,1954
33.40103405,-111.9349269,3,2,1508,1960
33.86683954,-112.1311513,5,3.5,3002,2005
33.80859177,-84.615663,3,2,1192,1974
33.50653327,-84.3718425,3,2,1266,1987
33.55193894,-84.26513444,3,2,1234,1986
33.60424772,-84.3352053,3,1,1129,1967
33.42967612,-84.31410895,3,3,2251,2005
33.42245913,-84.31255537,3,2,1125,1999
33.7133524,-84.02553332,3,2,1299,1964
33.82625998,-83.94654695,3,2,1392,1986
34.09970895,-83.69233331,4,3,2178,1968
38.56514018,-90.34560743,3,1,864,1957
25.57379667,-80.37609232,5,3,2607,2010
25.75725428,-80.37817561,4,3,2078,1977
25.77061658,-80.47425641,3,2,1655,2002
33.79317177,-84.77838888,5,3,1514,2002
